part_id|part_definition_id|part_product_class_id|common_part_catalog_id|preferred_supplier_id|part_family_id|stock_card_create_date|part_season
178|4823|190|39|1|2|2014-01-10|NULL
234|4823|190|39|1|2|2010-04-30|NULL
312|3013|360|23|1|1|2016-06-20|NULL
325|8726|335|39|1|2|2004-12-24|NULL
712|10345|555|39|1|2|2004-12-24|NULL
729|11000|522|9|1|408|2004-12-24|NULL
879|11363|335|39|1|2|2016-04-08|NULL
1096|8759|360|39|1|2|2007-09-24|NULL
1102|8759|360|39|1|2|2010-09-13|NULL
1194|6929|205|39|1|2|2010-10-22|NULL
1265|10605|31|1|4|188|2005-02-25|NULL
1450|2145|510|39|1|2|2004-12-24|NULL
1799|3910|526|22|1|2|2010-08-26|NULL
1986|9645|572|32|1|2|2007-01-26|Kış Mevsimsel
2003|2145|550|32|1|2|2005-05-11|NULL
2140|8732|516|10|1|2|2008-08-11|NULL
2143|8730|516|32|1|2|2015-02-02|NULL
2167|6897|118|22|1|2|2004-12-24|NULL
2274|4897|534|24|1|2|2015-03-10|NULL
2391|6701|185|32|1|2|2010-12-07|NULL
2417|2145|510|39|1|2|2008-01-21|NULL
2477|3245|566|32|1|2|2011-04-20|NULL
2538|8693|524|15|1|2|2005-06-16|NULL
2795|5703|534|32|1|2|2010-07-05|NULL
3148|10812|626|39|1|1|2019-01-22|NULL
3165|11404|598|39|1|2|2010-08-11|NULL
3338|11295|624|7|1|1|2017-07-18|NULL
3558|2180|511|6|5|68|2014-01-22|NULL
4006|2673|624|39|1|1|2017-01-20|NULL
4019|11404|598|24|1|1|2015-10-19|NULL
4021|11404|598|32|1|2|2012-11-01|NULL
4185|1591|534|39|1|1|2017-03-01|NULL
4333|10541|574|39|1|1|2015-11-13|Kış Mevsimsel
4375|2145|510|4|1|1|2017-02-02|NULL
4420|2463|624|4|1|1|2015-10-20|NULL
4767|11224|534|32|1|2|2004-12-24|NULL
4877|2145|550|23|1|2|2009-12-07|NULL
4969|8743|587|39|1|566|2004-12-24|NULL
5105|6650|510|9|1|341|2006-10-12|NULL
5213|5703|534|9|1|2|2007-04-24|NULL
5490|10630|624|9|1|1|2015-04-09|NULL
5535|11481|598|23|1|1|2018-05-17|NULL
5559|11091|624|23|1|2|2012-06-13|NULL
5652|3910|526|9|1|2|2010-04-26|NULL
5734|3099|110|4|1|2|2016-12-21|NULL
